epoch,acc@1,acc@5,train_loss,val_loss
001,0.100,0.504,6.950,6.908
002,0.100,0.500,6.635,6.908
003,0.100,0.500,5.779,6.908
004,0.100,0.500,5.136,6.909
005,0.100,0.500,4.661,6.910
006,0.100,0.500,4.355,6.913
007,0.100,0.500,4.164,6.917
008,0.100,0.500,4.031,6.923
009,0.100,0.500,3.926,6.931
010,0.100,0.500,3.851,6.941
011,0.100,0.500,3.778,6.950
012,0.100,0.500,3.733,6.961
013,0.100,0.500,3.680,6.971
014,0.100,0.500,3.651,6.980
015,0.100,0.500,3.628,6.989
016,0.100,0.500,3.593,6.998
017,0.100,0.500,3.566,7.005
018,0.100,0.500,3.534,7.012
019,0.100,0.504,3.510,7.019
020,0.100,0.498,3.493,7.025
021,0.100,0.498,3.468,7.029
022,0.100,0.500,3.456,7.033
023,0.110,0.500,3.434,7.036
024,0.128,0.500,3.423,7.037
025,0.134,0.500,3.405,7.037
026,0.146,0.510,3.395,7.035
027,0.164,0.566,3.386,7.032
028,0.178,0.560,3.366,7.027
029,0.198,0.672,3.362,7.021
030,0.188,0.756,3.343,7.012
031,0.214,0.864,3.340,7.000
032,0.238,1.056,3.333,6.984
033,0.268,1.268,3.314,6.959
034,0.364,1.570,3.311,6.922
035,0.522,1.964,3.299,6.872
036,0.768,2.684,3.298,6.799
037,1.218,3.828,3.281,6.702
038,1.902,5.490,3.272,6.568
039,3.066,8.352,3.273,6.381
040,4.940,12.762,3.259,6.133
041,7.866,18.972,3.253,5.809
042,11.874,26.296,3.243,5.430
043,16.410,33.822,3.239,5.042
044,21.508,41.834,3.236,4.637
045,26.648,49.006,3.227,4.254
046,31.722,55.428,3.223,3.884
047,36.230,60.956,3.210,3.550
048,40.546,65.482,3.209,3.245
049,44.326,69.148,3.197,2.984
050,47.580,72.392,3.192,2.755
051,50.434,75.000,3.185,2.561
052,52.708,77.198,3.177,2.401
053,54.770,78.936,3.176,2.267
054,56.698,80.310,3.163,2.150
055,58.208,81.460,3.164,2.052
056,59.368,82.414,3.163,1.968
057,60.416,83.154,3.149,1.899
058,61.536,83.920,3.147,1.834
059,62.300,84.564,3.139,1.779
060,63.026,85.048,3.131,1.729
061,63.734,85.528,3.124,1.685
062,64.310,85.944,3.123,1.647
063,64.822,86.334,3.120,1.613
064,65.338,86.662,3.109,1.585
065,65.806,86.938,3.106,1.557
066,66.228,87.158,3.098,1.533
067,66.670,87.444,3.097,1.510
068,67.066,87.660,3.095,1.489
069,67.392,87.848,3.087,1.471
070,67.694,88.070,3.078,1.454
071,67.944,88.312,3.068,1.439
072,68.260,88.520,3.070,1.423
073,68.566,88.682,3.065,1.408
074,68.778,88.760,3.063,1.394
075,68.990,88.916,3.059,1.382
076,69.224,89.000,3.051,1.370
077,69.396,89.098,3.049,1.360
078,69.558,89.204,3.040,1.350
079,69.738,89.354,3.036,1.339
080,69.918,89.500,3.032,1.329
081,70.138,89.594,3.029,1.320
082,70.328,89.688,3.025,1.311
083,70.526,89.832,3.013,1.302
084,70.732,89.888,3.014,1.292
085,70.886,89.926,3.004,1.285
086,71.056,89.986,3.005,1.278
087,71.196,90.048,3.006,1.270
088,71.368,90.106,2.997,1.263
089,71.482,90.166,2.997,1.256
090,71.512,90.252,2.985,1.251
091,71.614,90.268,2.987,1.247
092,71.710,90.348,2.986,1.242
093,71.848,90.390,2.975,1.237
094,71.884,90.494,2.975,1.234
095,71.948,90.524,2.967,1.231
096,72.044,90.528,2.965,1.228
097,72.096,90.586,2.956,1.225
098,72.138,90.626,2.955,1.220
099,72.258,90.680,2.958,1.215
100,72.352,90.736,2.949,1.211
101,72.416,90.776,2.944,1.206
102,72.532,90.828,2.939,1.202
103,72.580,90.894,2.937,1.197
104,72.654,90.970,2.937,1.193
105,72.706,90.992,2.933,1.190
106,72.818,91.028,2.930,1.186
107,72.870,91.096,2.916,1.182
